# word  syl-la-ble-split   built by gen/build_dictionary.py
# from en_US hyphenation patterns (pyphen). Break points, which are
# conservative: a missing break is safer than a wrong one.
acknowledgments ac-knowl-edg-ments
ackroyd ack-royd
acmat ac-mat
acne ac-ne
acocella aco-cel-la
acordia acor-dia
acosta acos-ta
acoustic acous-tic
acoustical acous-ti-cal
acoustically acous-ti-cal-ly
acoustics acous-tics
acquaint ac-quaint
acquaintance ac-quain-tance
acquaintances ac-quain-tances
acquaintanceship ac-quain-tance-ship
acquainted ac-quaint-ed
acquaviva ac-qua-vi-va
acquiesce ac-qui-esce
acquiesced ac-qui-esced
acquiescence ac-qui-es-cence
acquiescent ac-qui-es-cent
acquiescing ac-qui-esc-ing
acquire ac-quire
acquired ac-quired
acquirer ac-quir-er
acquirers ac-quir-ers
acquires ac-quires
acquiring ac-quir-ing
acquisition ac-qui-si-tion
acquisitions ac-qui-si-tions
acquisitive ac-quis-i-tive
acquit ac-quit
acquitaine ac-quitaine
acquits ac-quits
acquittal ac-quit-tal
acquittals ac-quit-tals
acquitted ac-quit-ted
acquitting ac-quit-ting
acrimonious ac-ri-mo-nious
acrimony ac-ri-mo-ny
acrobat ac-ro-bat
acrobatic ac-ro-bat-ic
acrobatics ac-ro-bat-ics
acrobats ac-ro-bats
acronym acro-nym
acropolis acrop-o-lis
acta ac-ta
actava ac-ta-va
actavas ac-tavas
acted act-ed
actel ac-tel
actigall acti-gall
acting act-ing
actinide ac-tinide
actinidia ac-tini-dia
actinomycosis acti-no-my-co-sis
action ac-tion
actionable ac-tion-able
actions ac-tions
activase ac-ti-vase
activate ac-ti-vate
activated ac-ti-vat-ed
activates ac-ti-vates
activating ac-ti-vat-ing
activation ac-ti-va-tion
activator ac-ti-va-tor
active ac-tive
actively ac-tive-ly
actives ac-tives
activision ac-tivi-sion
activism ac-tivism
activist ac-tivist
activists ac-tivists
activities ac-tiv-i-ties
activity ac-tiv-i-ty
actmedia act-media
actodine ac-to-dine
acton ac-ton
actor ac-tor
actors ac-tors
actress ac-tress
actresses ac-tress-es
actual ac-tu-al
actuality ac-tu-al-i-ty
actualize ac-tu-al-ize
